indicator,category,value,unit,agetogether_relevance,design_consideration,geography,census_year
Age distribution,65-74 years,6594.0,count of persons,Provides age-group context for inclusive age-friendly design.,Validate varied needs with older adults across age groups.,Melbourne (LGA24600),2021
Age distribution,75-84 years,3143.0,count of persons,Provides age-group context for inclusive age-friendly design.,Validate varied needs with older adults across age groups.,Melbourne (LGA24600),2021
Age distribution,85 years and over,1182.0,count of persons,Provides age-group context for inclusive age-friendly design.,Validate varied needs with older adults across age groups.,Melbourne (LGA24600),2021
Age distribution,65 years and over share of total population,7.3,percent,Provides scale context for the 65+ population; not individual profiling.,Use aggregate context only; do not profile individuals.,Melbourne (LGA24600),2021
Core activity need for assistance,65 years and over with a need for assistance,1825.0,count of persons,"Provides context for low-effort, clear interaction design considerations.","Consider readable, simple, low-effort interaction; validate with users.",Melbourne (LGA24600),2021
Core activity need for assistance,65 years and over with a need for assistance,16.72,percent,"Provides context for low-effort, clear interaction design considerations.","Consider readable, simple, low-effort interaction; validate with users.",Melbourne (LGA24600),2021
Voluntary work,65 years and over who volunteered,1993.0,count of persons,Provides context for community participation pathways.,Consider community and local-discovery pathways; validate interest directly.,Melbourne (LGA24600),2021
Voluntary work,65 years and over who volunteered,18.25,percent,Provides context for community participation pathways.,Consider community and local-discovery pathways; validate interest directly.,Melbourne (LGA24600),2021
Relationship in household,65 years and over in Lone person category,3068.0,count of persons,Provides context for not assuming household support is always available.,Avoid assuming another household member is available for support.,Melbourne (LGA24600),2021
Relationship in household,65 years and over in Lone person category,34.09,percent,Provides context for not assuming household support is always available.,Avoid assuming another household member is available for support.,Melbourne (LGA24600),2021
