Feature Name,Theme,Sub Theme,latitude,longitude,source_dataset
Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,-37.7840864379557,144.961967841559,City of Melbourne - Landmarks and places of interest
Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8255239795833,144.974107925144,City of Melbourne - Landmarks and places of interest
Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,-37.8266045432686,144.967252924593,City of Melbourne - Landmarks and places of interest
Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8178516571684,144.968963600783,City of Melbourne - Landmarks and places of interest
National Sports Museum,Place Of Assembly,Art Gallery/Museum,-37.8189544909462,144.984669809381,City of Melbourne - Landmarks and places of interest
Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8111222889277,144.954696055235,City of Melbourne - Landmarks and places of interest
Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8314918578874,144.908824792698,City of Melbourne - Landmarks and places of interest
Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7878473341234,144.922972125346,City of Melbourne - Landmarks and places of interest
J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7982358832177,144.923837074813,City of Melbourne - Landmarks and places of interest
Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7948375315825,144.915607065132,City of Melbourne - Landmarks and places of interest
Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8129616331579,144.980455714669,City of Melbourne - Landmarks and places of interest
The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.8148855756416,144.967291289941,City of Melbourne - Landmarks and places of interest
State Library Victoria,Community Use,Public Buildings,-37.8099852201226,144.964330322397,City of Melbourne - Landmarks and places of interest
Regent Theatre,Place Of Assembly,Theatre Live,-37.8160014744179,144.967916735261,City of Melbourne - Landmarks and places of interest
Richmond Football Club,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216740022008,144.988156318781,City of Melbourne - Landmarks and places of interest
Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8249040484653,144.952288281644,City of Melbourne - Landmarks and places of interest
Melbourne International Shooting Club,Leisure/Recreation,Private Sports Club/Facility,-37.8292844929826,144.913415802464,City of Melbourne - Landmarks and places of interest
Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,-37.8213744301481,144.948496661709,City of Melbourne - Landmarks and places of interest
North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7988345257153,144.941452061463,City of Melbourne - Landmarks and places of interest
