title,article_url,summary,category,guid,source,source_feed_url,published_date,news_relevance,news_relevance_reason
Antisemitism royal commission to report later than planned,https://www.sbs.com.au/news/article/antisemitism-royal-commission-to-report-later-than-planned/t4i0il7vt,Commissioner Virginia Bell said she was responding to concerns from within the Jewish community.,Politics,000001a0-65f3-ddb1-a9a9-edffada70000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-03T07:56:32Z,Included,Included because title/summary keyword match: community.
Kids are being dragged down a troubling 'rabbit hole'. What happens if we switch it off?,https://www.sbs.com.au/news/article/manosphere-algorithm-opt-out-social-media-misogyny/xtuz3i62s,A proposal to fundamentally change how Australians experience social media is gaining traction.,Australia,000001a0-64bc-dd6d-a1b8-eefda1500001,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-03T06:44:49Z,Included,Included because official RSS category match: Australia.
'Enormous interest': Coalition says exiled crown prince of Iran will visit Australia,https://www.sbs.com.au/news/article/enormous-interest-coalition-says-exiled-crown-prince-of-iran-will-visit-australia/nxd2nb6h7,The Coalition says Reza Pahlavi has accepted the party's invitation.,Politics; Australia,000001a0-6524-dbdd-afe3-75e559b70000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-03T04:05:54Z,Included,Included because official RSS category match: Australia.
The world is expected to overshoot a critical climate target. But there's still hope,https://www.sbs.com.au/news/article/the-world-is-expected-to-overshoot-a-critical-climate-target-but-theres-still-hope/zb1ziilbb,"The world is likely to pass 1.5C warming by 2030, but experts say the choices made now could make a difference.",World; Science,000001a0-64c2-de6b-a1a2-e6e691f70001,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-03T02:55:28Z,Excluded,Excluded because no documented keyword/topic or broad official RSS category matched.
Coalition plan to hit 'gangs where it hurts' would slash tobacco tax and legalise vapes,https://www.sbs.com.au/news/article/tobacco-tax-coalition-legal-vapes-policy/4yv7egraj,The Opposition has unveiled its plan to tackle the sale of illegal tobacco amid the rise of organised crime sales.,Australia,000001a0-6414-dadf-a9ab-76156f150000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T23:57:41Z,Included,Included because official RSS category match: Australia.
Missing Australians in Nepal to be pinpointed using telco data,https://www.sbs.com.au/news/article/australias-nepali-community-faces-anxious-wait-for-answers-over-flood-disaster/6irgi7qe8,Foreign Affairs Minister Penny Wong said the data would help rescuers refine their search.,Australia; World,000001a0-63b7-ddb1-a9a9-efbf169f0001,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T20:52:46Z,Included,Included because official RSS category match: Australia.
Australians will lose free access to this vaccine. Here's what it could cost,https://www.sbs.com.au/news/article/what-will-a-covid-vaccine-cost-under-australias-new-rules/c38zeuiem,Some Australians may soon face a new health bill under changes taking effect soon.,Health; COVID-19; Australia,000001a0-60a1-dff4-a7ee-f0f994220000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T19:32:57Z,Included,"Included because title/summary keyword match: health, vaccine; official RSS category match: Australia, COVID-19, Health."
"With falls accelerating, how far could Australia's property market drop?",https://www.sbs.com.au/news/article/how-far-could-australian-property-prices-fall/r33flk97a,"Prices are now falling in most capital-city suburbs, but the key question is how much further the downturn has to run.",Australia; Finance,000001a0-5f99-d000-a7b8-dff922070000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T19:32:35Z,Included,Included because official RSS category match: Australia.
The shifting ties in Australia's backyard as 'deep pockets' beckon,https://www.sbs.com.au/news/article/pacific-islands-forum-taiwan-china-australia-security-crisis/bdj0zowyg,"While China stirs tensions over Taiwan in Palau, island leaders are urging Canberra to focus on climate and drug crime.",World; Pacific,000001a0-5f7c-dbca-a7bf-7f7cf1720000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T07:56:09Z,Excluded,Excluded because no documented keyword/topic or broad official RSS category matched.
'Didn’t think twice': The routine activity that sent Robert to the emergency department,https://www.sbs.com.au/news/article/didnt-think-twice-the-routine-activity-that-sent-robert-to-the-emergency-department/dapkm7izt,"Many people have no issue, but the consequences can be severe for people who are more vulnerable.",Australia; Health; Life,000001a0-6039-d361-afb9-f2fb82180000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T05:58:07Z,Included,"Included because official RSS category match: Australia, Health, Life."
The possible cost of Australia's stronger-than-expected growth,https://www.sbs.com.au/news/article/australia-gdp-growth-economy-rba-interest-rates-pressure/61iypio6x,Australia's stronger GDP figures could complicate the Reserve Bank's next interest rate decision.,Politics; Australia,000001a0-6016-d455-adf9-ff3e3b450000,SBS News – Australia RSS,https://www.sbs.com.au/news/topic/australia/feed,2026-09-02T04:41:57Z,Included,Included because official RSS category match: Australia.
