Feature Name,Theme,Sub Theme,latitude,longitude,final_relevance_tier,final_relevance_reason
Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,-37.7840864379557,144.961967841559,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Carlton Gardens Primary School,Education Centre,Primary Schools,-37.8020953835112,144.969406272035,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8255239795833,144.974107925144,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Grammar School,Education Centre,Secondary Schools,-37.8342561018747,144.976285045233,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,-37.8202245786597,144.965989052839,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,-37.8266045432686,144.967252924593,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
SBS (Special Broadcasting Service),Office,Office,-37.8176921210305,144.968740597156,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8178516571684,144.968963600783,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Womens Hospital,Health Services,Public Hospital,-37.7988892460088,144.954897253856,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
South Kensington Railway Station,Transport,Railway Station,-37.7997270537735,144.925837749713,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
National Sports Museum,Place Of Assembly,Art Gallery/Museum,-37.8189544909462,144.984669809381,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
